epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,6569.34,0.64527,2.84688,0.23158,0.41003,1.07967,0.9707,0.97956,0.99111,0.89607,0.88646,0.8444,0.87112,0.73265,0.54077,1.74219,0.04006,0.27874,0.96626,0.004555,0.004555,0.004555
57,6673.81,0.64059,2.82008,0.2332,0.40983,1.07945,0.97107,0.97941,0.99113,0.89603,0.88902,0.84424,0.87149,0.73233,0.54031,1.73822,0.03981,0.27825,0.96593,0.004456,0.004456,0.004456
58,6777.5,0.63608,2.75774,0.23117,0.4044,1.07373,0.97204,0.97908,0.99118,0.89619,0.88948,0.84465,0.87183,0.73349,0.53934,1.73435,0.03951,0.27775,0.96526,0.004357,0.004357,0.004357
59,6881.43,0.63909,2.77966,0.23289,0.40477,1.07995,0.97222,0.97885,0.99116,0.89659,0.889,0.84607,0.872,0.73427,0.53851,1.73119,0.03933,0.2776,0.96443,0.004258,0.004258,0.004258
60,6985.82,0.63211,2.76969,0.23011,0.39975,1.0717,0.97165,0.97846,0.99111,0.89677,0.88985,0.84523,0.87226,0.73489,0.53757,1.72722,0.03903,0.27661,0.96372,0.004159,0.004159,0.004159
61,7090.23,0.63088,2.72979,0.22961,0.39679,1.07359,0.97165,0.97838,0.99122,0.89693,0.88985,0.84682,0.87244,0.73523,0.5363,1.7242,0.03884,0.27606,0.96302,0.00406,0.00406,0.00406
62,7195.11,0.63177,2.73026,0.22856,0.40071,1.07557,0.97128,0.97833,0.99126,0.8971,0.88953,0.8476,0.87335,0.73593,0.53546,1.72085,0.03864,0.27594,0.96241,0.003961,0.003961,0.003961
63,7299.19,0.62751,2.68831,0.2261,0.39857,1.0724,0.97129,0.97821,0.99127,0.89734,0.89012,0.84708,0.87255,0.73638,0.53457,1.71751,0.03845,0.27539,0.96171,0.003862,0.003862,0.003862
64,7403.34,0.63012,2.69036,0.22534,0.39654,1.07285,0.97163,0.97751,0.99125,0.89759,0.88893,0.84822,0.87267,0.73639,0.53379,1.71438,0.0383,0.27492,0.96111,0.003763,0.003763,0.003763
65,7507.83,0.62782,2.65894,0.22321,0.39795,1.07135,0.97169,0.97783,0.99127,0.89785,0.88885,0.8486,0.87386,0.73742,0.5331,1.71162,0.03818,0.27457,0.96056,0.003664,0.003664,0.003664
